1697966080.996559970;k1: 1.0
1697966080.997052309;k2: 5.0
1697966080.997491329;Max_linear: 10.0
1697966080.997983120;Max_angular: 10.0
1697966080.998498267;Target_distance: 1.0
time;side;closest_point_dist;relative_dist;angular_vel;linear_vel
1697966092.480455807;right;2.7554;-1.7554;-4.0911;0.2444
1697966092.483245274;right;2.7554;-1.7554;-4.0911;0.2444
1697966092.499424593;right;2.7554;-1.7554;-4.0911;0.2444
1697966092.502885145;right;2.7554;-1.7554;-4.0911;0.2444
1697966092.513197347;right;2.7555;-1.7555;-4.0912;0.2444
1697966092.523687611;right;2.7557;-1.7557;-4.0914;0.2444
1697966092.533503648;right;2.7560;-1.7560;-4.0917;0.2444
1697966092.544473939;right;2.7562;-1.7562;-4.0920;0.2444
1697966092.563606908;right;2.7566;-1.7566;-4.0923;0.2444
1697966092.585358567;right;2.7570;-1.7570;-4.0927;0.2443
1697966092.599105095;right;2.7574;-1.7574;-4.0056;0.2497
1697966092.614043258;right;2.7578;-1.7578;-4.0061;0.2496
1697966092.626620695;right;2.7583;-1.7583;-3.9191;0.2552
1697966092.637745743;right;2.7588;-1.7588;-3.9196;0.2551
1697966092.645380661;right;2.7595;-1.7595;-3.8328;0.2609
1697966092.653904442;right;2.7600;-1.7600;-3.8333;0.2609
1697966092.662839942;right;2.7607;-1.7607;-3.7465;0.2669
1697966092.675427610;right;2.7614;-1.7614;-3.7473;0.2669
1697966092.692184821;right;2.7621;-1.7621;-3.6604;0.2732
1697966092.701823805;right;2.7628;-1.7628;-3.5737;0.2798
1697966092.713339289;right;2.7636;-1.7636;-3.4871;0.2868
1697966092.722490880;right;2.7644;-1.7644;-3.4878;0.2867
1697966092.736597496;right;2.7651;-1.7651;-3.4011;0.2940
1697966092.750046086;right;2.7659;-1.7659;-3.3144;0.3017
1697966092.762095313;right;2.7667;-1.7667;-3.2278;0.3098
1697966092.770887699;right;2.7675;-1.7675;-3.1411;0.3184
1697966092.778916296;right;2.7683;-1.7683;-3.0545;0.3274
1697966092.791817757;right;2.7691;-1.7691;-2.9678;0.3370
1697966092.799030232;right;2.7699;-1.7699;-2.8811;0.3471
1697966092.819873173;right;2.7706;-1.7706;-2.8818;0.3470
1697966092.827124314;right;2.7713;-1.7713;-2.7950;0.3578
1697966092.835394294;right;2.7719;-1.7719;-2.7082;0.3693
1697966092.843333109;right;2.7725;-1.7725;-2.6213;0.3815
1697966092.855459080;right;2.7732;-1.7732;-2.5345;0.3946
1697966092.868072474;right;2.7737;-1.7737;-2.5351;0.3945
1697966092.881179824;right;2.7742;-1.7742;-2.4481;0.4085
1697966092.895122984;right;2.7747;-1.7747;-2.3611;0.4235
1697966092.911764066;right;2.7753;-1.7753;-2.2742;0.4397
1697966092.918792689;right;2.7756;-1.7756;-2.2746;0.4397
1697966092.926844784;right;2.7760;-1.7760;-2.1875;0.4572
1697966092.944932727;right;2.7764;-1.7764;-2.1879;0.4571
1697966092.955200289;right;2.7767;-1.7767;-2.1007;0.4761
1697966092.963836534;right;2.7770;-1.7770;-2.0135;0.4967
1697966092.980657765;right;2.7772;-1.7772;-2.0137;0.4966
1697966092.987665664;right;2.7773;-1.7773;-1.9264;0.5191
1697966092.996373489;right;2.7776;-1.7776;-1.8392;0.5437
1697966093.010111504;right;2.7776;-1.7776;-1.8392;0.5438
1697966093.023857498;right;2.7777;-1.7777;-1.7518;0.5709
1697966093.038445539;right;2.7776;-1.7776;-1.7517;0.5709
1697966093.051507280;right;2.7775;-1.7775;-1.6642;0.6009
1697966093.059139045;right;2.7774;-1.7774;-1.6641;0.6010
1697966093.066773332;right;2.7773;-1.7773;-1.5765;0.6344
1697966093.080622460;right;2.7770;-1.7770;-1.5763;0.6345
1697966093.095201464;right;2.7768;-1.7768;-1.4885;0.6718
1697966093.105955290;right;2.7764;-1.7764;-1.4882;0.6720
1697966093.117180326;right;2.7761;-1.7761;-1.4004;0.7142
1697966093.126446669;right;2.7755;-1.7755;-1.3998;0.7144
1697966093.133777195;right;2.7751;-1.7751;-1.3994;0.7146
1697966093.158361661;right;2.7744;-1.7744;-1.3113;0.7627
1697966093.165855163;right;2.7738;-1.7738;-1.3106;0.7630
1697966093.177227200;right;2.7731;-1.7731;-1.2225;0.8181
1697966093.186496934;right;2.7723;-1.7723;-1.2217;0.8186
1697966093.197889159;right;2.7716;-1.7716;-1.1335;0.8823
1697966093.215296811;right;2.7706;-1.7706;-1.1325;0.8831
1697966093.223415905;right;2.7697;-1.7697;-1.1316;0.8838
1697966093.235221565;right;2.7686;-1.7686;-1.0430;0.9589
1697966093.251103755;right;2.7674;-1.7674;-1.0418;0.9600
1697966093.263072468;right;2.7662;-1.7662;-0.9531;1.0000
1697966093.276228060;right;2.7648;-1.7648;-0.9517;1.0000
1697966093.287108314;right;2.7634;-1.7634;-0.9504;1.0000
1697966093.298376606;right;2.7618;-1.7618;-0.8613;1.0000
1697966093.309143798;right;2.7602;-1.7602;-0.8597;1.0000
1697966093.317963169;right;2.7585;-1.7585;-0.7705;1.0000
1697966093.326351080;right;2.7566;-1.7566;-0.7686;1.0000
